condition,n,mean_final_holdout_nll,sd_final_holdout_nll,ci_low_final_holdout_nll,ci_high_final_holdout_nll,mean_final_holdout_brier,sd_final_holdout_brier,ci_low_final_holdout_brier,ci_high_final_holdout_brier,mean_final_holdout_ece,sd_final_holdout_ece,ci_low_final_holdout_ece,ci_high_final_holdout_ece,mean_final_holdout_accuracy,sd_final_holdout_accuracy,ci_low_final_holdout_accuracy,ci_high_final_holdout_accuracy,mean_final_200_collision_rate,mean_final_200_routing_entropy
structural_core_blind,30,1.6473122622305,0.01600864575321377,1.6417974377119322,1.6529727516393002,0.8140912838732667,0.0055080047679910114,0.8121920159183791,0.8160429013368375,0.05408196441203333,0.026903709342036047,0.04463652057397917,0.06352097388458833,0.17375000000000002,0.02346585927947532,0.16541666666666668,0.18208333333333335,0.0,0.0
kv_fixed_position,30,0.002253812690033333,2.7597502666780264e-05,0.0022444274384775,0.0022637353311825,6.3757737666666665e-06,1.8852872092815395e-07,6.312802553333333e-06,6.444769446666667e-06,0.0022512630855333333,2.7525583557650964e-05,0.002241967216909167,0.0022611304028225003,1.0,0.0,1.0,1.0,0.0,0.0
kv_first_free,30,0.002253812690033333,2.7597502666780264e-05,0.0022444631325125,0.002263784767973334,6.3757737666666665e-06,1.8852872092815395e-07,6.312669480833334e-06,6.444833962500001e-06,0.0022512630855333333,2.7525583557650964e-05,0.0022419036425458338,0.00226117719473,1.0,0.0,1.0,1.0,0.0,0.0
kv_hard_router,30,0.002253812690033333,2.7597502666780264e-05,0.0022443336738558334,0.00226380184051,6.3757737666666665e-06,1.8852872092815395e-07,6.312354960833334e-06,6.4449137233333335e-06,0.0022512630855333333,2.7525583557650964e-05,0.0022418623567825005,0.0022613134625308336,1.0,0.0,1.0,1.0,0.0,0.20615478048916666
kv_annealed_router,30,0.002253812690033333,2.7597502666780264e-05,0.002244409835689166,0.002263715844436667,6.3757737666666665e-06,1.8852872092815395e-07,6.312167623333334e-06,6.444754962500001e-06,0.0022512630855333333,2.7525583557650964e-05,0.0022419409138983333,0.0022611879239766665,1.0,0.0,1.0,1.0,0.0,0.0734488399349
