intervention,metric,mean_degradation,ci_low,ci_high,harmful_seeds,n,formal_gate
no_broadcast,holdout_nll,1.6071840997439666,1.6071741370919517,1.6071934277715993,30,30,False
no_broadcast,holdout_accuracy,0.6637500000000001,0.6495833333333334,0.6770833333333334,30,30,False
no_workspace_persistence,holdout_nll,1.6071840997439666,1.607174083921499,1.6071934535658725,30,30,False
no_workspace_persistence,holdout_accuracy,0.6637500000000001,0.6495833333333334,0.6770833333333334,30,30,False
no_workspace_output,holdout_nll,1.6071840997439666,1.607173981595747,1.6071935422124108,30,30,False
no_workspace_output,holdout_accuracy,0.6637500000000001,0.6495833333333334,0.6772916666666667,30,30,False
no_spine_workspace,holdout_nll,0.0,0.0,0.0,0,30,False
no_spine_workspace,holdout_accuracy,0.0,0.0,0.0,0,30,False
no_mechanism_output,holdout_nll,1.6071840997439666,1.607174037443829,1.60719353855584,30,30,True
no_mechanism_output,holdout_accuracy,0.6637500000000001,0.6497916666666667,0.676875,30,30,True
workspace_disconnected,holdout_nll,1.6071840997439666,1.6071742097769226,1.607193486159844,30,30,False
workspace_disconnected,holdout_accuracy,0.6637500000000001,0.6497916666666667,0.6770833333333334,30,30,False
no_workspace_writes,holdout_nll,1.6071840997439666,1.6071740040074274,1.607193488655265,30,30,False
no_workspace_writes,holdout_accuracy,0.6637500000000001,0.6495833333333334,0.6770833333333334,30,30,False
zero_reader_inbox,holdout_nll,1.6071840997439666,1.6071741208112225,1.6071935435993014,30,30,False
zero_reader_inbox,holdout_accuracy,0.6637500000000001,0.6495833333333334,0.676875,30,30,False
permuted_workspace_keys,holdout_nll,5.731872951291066,5.635747141835352,5.822959145213143,30,30,True
permuted_workspace_keys,holdout_accuracy,0.7654166666666666,0.7525,0.7775,30,30,True
zero_query_key,holdout_nll,3.7935532520002,3.7133640064138915,3.874426945208219,30,30,True
zero_query_key,holdout_accuracy,0.5068750000000001,0.49624999999999997,0.5177083333333333,30,30,True
randomized_write_slots,holdout_nll,2.683270225426,2.5699156672099357,2.7858982713487643,30,30,True
randomized_write_slots,holdout_accuracy,0.6933333333333334,0.6793750000000001,0.7072916666666667,30,30,True
cleared_writer_assignment,holdout_nll,1.6071840997439666,1.6071741206802501,1.60719353146771,30,30,True
cleared_writer_assignment,holdout_accuracy,0.6637500000000001,0.6495833333333334,0.6770833333333334,30,30,True
allow_write_collisions,holdout_nll,1.0146513067435667,0.9764628958129167,1.050901986368194,30,30,True
allow_write_collisions,holdout_accuracy,0.41833333333333333,0.39874999999999994,0.4391666666666667,30,30,True
permuted_recipients,holdout_nll,0.0,0.0,0.0,0,30,False
permuted_recipients,holdout_accuracy,0.0,0.0,0.0,0,30,False
