intervention,seeds,mean_nll_increase,ci_lower,ci_upper,sd,cohen_dz,positive_seeds,negative_seeds,ties,mean_accuracy_change
no_broadcast,30,-0.02046870427629998,-0.04025911434139995,-0.0009393127684999744,0.05601927690410338,-0.36538679910737404,10,20,0,-0.012500000000033326
no_workspace_persistence,30,0.03417351847280002,-0.020653506715199967,0.08985837090876667,0.1578924847605498,0.216435370718407,17,13,0,-0.03888888888903333
no_workspace_output,30,-0.011538844576199999,-0.036784175432699996,0.013052737487033313,0.07076726872056804,-0.1630534113413693,14,16,0,-0.015972222222300003
permuted_recipients,30,-0.010336328065199992,-0.03670732534473331,0.01616644494320002,0.07470603424115102,-0.13836001562918376,12,18,0,-0.008333333333433331
