preset,seeds,initial_train_nll_mean,initial_train_nll_sd,initial_holdout_nll_mean,initial_holdout_nll_sd,final_train_nll_mean,final_train_nll_sd,final_holdout_nll_mean,final_holdout_nll_sd,final_train_accuracy_mean,final_train_accuracy_sd,final_holdout_accuracy_mean,final_holdout_accuracy_sd,mean_estimated_madds_per_token_mean,mean_estimated_madds_per_token_sd,mean_active_mechanisms_per_token_mean,mean_active_mechanisms_per_token_sd,mean_writers_per_token_mean,mean_writers_per_token_sd,mean_recipients_per_token_mean,mean_recipients_per_token_sd,first_window_loss_mean,first_window_loss_sd,last_window_loss_mean,last_window_loss_sd,parameters_mean,parameters_sd
core_small,30,1.7132687894267666,0.12352395540553046,1.6987973537158332,0.12957147638401617,0.3741335826547333,0.13016070892397924,1.5291889786623334,0.26979486894714855,0.870625,0.057356220162937094,0.4944444444444333,0.05991626234154126,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6761094522244,0.0930023159767744,0.4503872950456667,0.12573100667635648,327.0,0.0
core_compute_matched,30,1.6824633418558002,0.05546503011803036,1.7007303527368,0.06806706404819089,0.30101232677893336,0.09311875244147023,1.6586803431506332,0.33653892733986523,0.9072916666666667,0.03782486201933338,0.5375000000000333,0.08570616067117406,1092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6514342288261001,0.07151798793013754,0.3935564989836667,0.09002084460677455,2232.0,0.0
core_param_matched,30,1.7057091287916,0.07240597184029213,1.6983482280864335,0.08239912658662689,0.10721559146943332,0.06965839878304576,1.7545116516998334,0.2856267256149813,0.9727083333333333,0.029928224722784204,0.5541666666666,0.05622205563870524,1474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6435887187204334,0.07853524373469736,0.1694537046131,0.10497316951426247,2181.0,0.0
sgw,30,1.7345388208586667,0.11949386492751121,1.7164713089557668,0.12550906478381882,0.23256589065933334,0.06875100286164151,1.5660405547735332,0.22100662033299948,0.9297916666666667,0.028649718910979935,0.5437500000000333,0.062464070131999214,1092.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.6999880744598999,0.09075917181924502,0.3200143324783667,0.09210656392138143,2182.0,0.0
