comparison,seeds,mean_baseline_minus_sgw_nll,ci_lower,ci_upper,sd,cohen_dz,positive_seeds,negative_seeds,ties
core_small_vs_sgw,30,-0.036851576111199984,-0.13253644849136667,0.06071945312976665,0.27551423595699365,-0.13375561514343065,11,19,0
core_compute_matched_vs_sgw,30,0.09263978837710002,-0.03468471085876665,0.22196443628890003,0.3660418921608233,0.2530852078985485,19,11,0
core_param_matched_vs_sgw,30,0.1884710969263,0.06712058854273334,0.31089406541773335,0.34774757814289253,0.5419767347706893,18,12,0
