seed,core_only_final_holdout_nll,sgw_final_holdout_nll,core_minus_sgw_nll,core_only_final_holdout_accuracy,sgw_final_holdout_accuracy
0,1.068202304817,1.073552634882,-0.005350330064999964,0.625,0.5625
1,1.108441423754,1.382918132236,-0.2744767084820001,0.53125,0.46875
2,1.733693533094,1.601836788891,0.1318567442030001,0.34375,0.375
3,1.794153457003,1.725802414334,0.06835104266899994,0.375,0.3125
4,1.888454679821,1.579715210285,0.30873946953599996,0.3125,0.46875
mean,,,0.04582404357219998,,
sd,,,0.21345081445119177,,
se,,,0.09545810619311185,,
