mode,seeds,initial_holdout_nll_mean,initial_holdout_nll_sd,final_holdout_nll_mean,final_holdout_nll_sd,final_holdout_accuracy_mean,final_holdout_accuracy_sd,final_train_nll_mean,final_train_nll_sd,mean_estimated_madds_per_token_mean,mean_estimated_madds_per_token_sd,parameters_mean,parameters_sd,first_window_loss_mean,first_window_loss_sd,last_window_loss_mean,last_window_loss_sd
core_only,5,1.6744758332824,0.046665849569440795,1.5185890796978,0.3968864953386225,0.4375,0.13441133229754104,0.761664295024,0.1503691052256189,210.0,0.0,327.0,0.0,1.6210097428946,0.010933699326663982,0.8161728066084001,0.1168992423284784
sgw,5,1.6418889073462002,0.03007520431099272,1.4727650361256,0.2547394646155497,0.4375,0.09631896879639025,0.5994393247576,0.10938644161468118,1092.0,0.0,2182.0,0.0,1.6551930122763998,0.025514610557281773,0.6744170638582,0.11410281405834605
