condition,delay,mean_nll,mean_accuracy,mean_query_hit,mean_survival
kv_delayed_oracle,0,0.0037634455369666667,1.0,1.0,1.0
kv_delayed_oracle,6,0.003765602773633333,1.0,1.0,1.0
kv_delayed_oracle,12,0.003764624872466667,1.0,1.0,1.0
kv_delayed_oracle,18,0.0037641362513999997,1.0,1.0,1.0
kv_delayed_oracle,24,0.003759182030733333,1.0,1.0,1.0
kv_delayed_fifo,0,1.7765321475438,0.5889583333333334,0.505625,0.5050000000000333
kv_delayed_fifo,6,1.7933165891790332,0.19270833333333334,0.0,0.0
kv_delayed_fifo,12,1.7927296870124,0.20479166666666665,0.0,0.0
kv_delayed_fifo,18,1.7924228822968,0.20375,0.0,0.0
kv_delayed_fifo,24,1.7935519434734333,0.20500000000000002,0.0,0.0
kv_delayed_reservoir,0,1.6031119830311666,0.6006250000000001,0.518125,0.5072222222222333
kv_delayed_reservoir,6,1.7153401260410999,0.38999999999999996,0.24854166666666666,0.2509027777778
kv_delayed_reservoir,12,1.7515953675586333,0.3141666666666667,0.15520833333333334,0.16090277777776668
kv_delayed_reservoir,18,1.7636471112699332,0.29375,0.116875,0.1205555555555
kv_delayed_reservoir,24,1.7740563193808,0.278125,0.10041666666666667,0.0965277777778
kv_delayed_hard,0,1.4543703161391333,0.59375,0.5110416666666667,0.5159722222222
kv_delayed_hard,6,1.6117093409027,0.448125,0.32625,0.33062499999996664
kv_delayed_hard,12,1.6479566554115335,0.4216666666666667,0.296875,0.2910416666667333
kv_delayed_hard,18,1.6348899389176668,0.41833333333333333,0.2964583333333334,0.29840277777783336
kv_delayed_hard,24,1.6482578396365,0.41354166666666664,0.28479166666666667,0.28131944444446666
kv_delayed_annealed_direct,0,0.949330852953,0.754375,0.698125,0.6991666666666667
kv_delayed_annealed_direct,6,1.0520579048747667,0.70125,0.621875,0.6220138888888334
kv_delayed_annealed_direct,12,1.1044309490359334,0.6847916666666667,0.605625,0.6049305555555333
kv_delayed_annealed_direct,18,1.0902441117421333,0.6860416666666667,0.61125,0.6116666666666667
kv_delayed_annealed_direct,24,1.0737451195200667,0.6927083333333334,0.6174999999999999,0.6177777777777667
kv_delayed_annealed_curriculum,0,0.8029869657528667,0.8185416666666666,0.7789583333333333,0.7783333333333334
kv_delayed_annealed_curriculum,6,0.9043155336155666,0.7825000000000001,0.724375,0.7244444444444333
kv_delayed_annealed_curriculum,12,0.9403034373189,0.7725000000000001,0.71625,0.7163888888888666
kv_delayed_annealed_curriculum,18,0.9107429756177666,0.7822916666666667,0.7260416666666667,0.7259722222222333
kv_delayed_annealed_curriculum,24,0.9261607600528333,0.7754166666666666,0.7160416666666667,0.7161111111111
