condition,n,mean_final_holdout_nll,sd_final_holdout_nll,ci_low_final_holdout_nll,ci_high_final_holdout_nll,mean_final_holdout_brier,sd_final_holdout_brier,ci_low_final_holdout_brier,ci_high_final_holdout_brier,mean_final_holdout_ece,sd_final_holdout_ece,ci_low_final_holdout_ece,ci_high_final_holdout_ece,mean_final_holdout_accuracy,sd_final_holdout_accuracy,ci_low_final_holdout_accuracy,ci_high_final_holdout_accuracy,mean_relevant_eviction_rate,mean_query_read_hit_rate,mean_distractor_write_rate,mean_distractor_eviction_rate,mean_relevant_survival_rate,mean_final_450_distractor_write_rate,mean_final_450_distractor_eviction_rate,mean_final_450_relevant_survival_rate,mean_final_450_disagreement_rate,accuracy_ge_90_count,minimum_accuracy
kv_delayed_oracle,30,0.0037641362513999997,3.620117339922004e-05,0.0037515182198533336,0.003776875230816667,1.7009611233333332e-05,3.581564103622389e-07,1.6884882908333337e-05,1.7136671410833333e-05,0.0037570379281,3.605511090705081e-05,0.0037444289274808336,0.00376979737925,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,30,1.0
kv_delayed_fifo,30,1.7924228822968,0.0039782802014908455,1.7910399816586875,1.7938350855048224,0.8335056724375666,0.0012322848385587337,0.8330757102714142,0.8339470202424674,0.036810887766366665,0.025992497999120262,0.028006109867342498,0.046286285676169166,0.20375,0.03214661992206635,0.19229166666666667,0.215,0.125,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.13125
kv_delayed_reservoir,30,1.7636471112699332,0.0213184432145814,1.7559031363763842,1.7709394680951533,0.8206825786351334,0.008631536491541974,0.8175257063621809,0.8236058531402416,0.05525392636176667,0.03078312538753172,0.04449022054908333,0.06611758200633751,0.29375,0.0387715457342197,0.2797916666666667,0.3070833333333333,0.0868055555556,0.116875,0.22468750000003332,0.22468750000003332,0.1205555555555,0.22476903292183334,0.22476903292183334,0.12435493827156667,0.0,0,0.20625
kv_delayed_hard,30,1.6348899389176668,0.17407050500500465,1.5698805008325143,1.6915880909656857,0.7526305794574,0.08794265921999911,0.7195092280394358,0.7814043139472492,0.05967202889873333,0.04404480224231839,0.04488652116560416,0.07589869204986667,0.41833333333333333,0.13363426886877466,0.3720833333333333,0.46604166666666663,0.05797743055553333,0.2964583333333334,0.3868402777778,0.3868402777778,0.29840277777783336,0.3904151234568667,0.3904151234568667,0.28588888888886665,0.0,0,0.18125
kv_delayed_annealed_direct,30,1.0902441117421333,0.4473346843851703,0.9262626957577991,1.239953235011425,0.46924193726850005,0.2070617601502667,0.39398901332324165,0.540797412607005,0.05903309897576667,0.043270597093243435,0.04427845650337,0.07474918289632666,0.6860416666666667,0.21366114893937072,0.605625,0.7566666666666666,0.04062499999993333,0.61125,0.3250000000000333,0.3250000000000333,0.6116666666666667,0.32799742798363335,0.32799742798363335,0.6121851851851667,0.0,3,0.1625
kv_delayed_annealed_curriculum,30,0.9107429756177666,0.4257474109547311,0.7516492868081134,1.0502452890868366,0.37942701135060003,0.17814628893404566,0.3132389106698975,0.4377087170207984,0.06682861498336666,0.04011867564686766,0.052756197481275004,0.08098601845047833,0.7822916666666667,0.10387278947673524,0.748125,0.8216666666666667,0.0288888888888,0.7260416666666667,0.2467129629629667,0.2467129629629667,0.7259722222222333,0.2509639917695,0.2509639917695,0.7226018518518667,0.0,5,0.675
