comparison,baseline,candidate,metric,n,mean_improvement,sd_improvement,ci_low,ci_high,favorable_count
annealed_vs_fifo,kv_fifo_eviction,kv_annealed_retention,final_holdout_nll,30,1.0878098543067667,0.3853511873124818,0.9457946587723483,1.216361601535756,30
annealed_vs_fifo,kv_fifo_eviction,kv_annealed_retention,final_holdout_brier,30,0.5274580298371,0.1569420872376264,0.46902652572439746,0.579408131743376,30
annealed_vs_fifo,kv_fifo_eviction,kv_annealed_retention,final_holdout_ece,30,0.046117753181,0.03626017370919047,0.03330446454151083,0.058743274867839174,26
annealed_vs_fifo,kv_fifo_eviction,kv_annealed_retention,final_holdout_accuracy,30,0.359375,0.10021192522298207,0.32229166666666664,0.39291666666666664,30
annealed_vs_reservoir,kv_reservoir,kv_annealed_retention,final_holdout_nll,30,1.0671127643929335,0.3633388510242664,0.93441531111712,1.1891038860799719,30
annealed_vs_reservoir,kv_reservoir,kv_annealed_retention,final_holdout_brier,30,0.5158905557379,0.14497604662223929,0.4628834571929509,0.5643628304363976,30
annealed_vs_reservoir,kv_reservoir,kv_annealed_retention,final_holdout_ece,30,0.04520649667163333,0.02982473331098017,0.03512662614217916,0.055979651551090005,30
annealed_vs_reservoir,kv_reservoir,kv_annealed_retention,final_holdout_accuracy,30,0.34770833333333334,0.08798332236491081,0.3154166666666667,0.37729166666666664,30
annealed_vs_hard,kv_hard_retention,kv_annealed_retention,final_holdout_nll,30,1.0969602132388665,0.36858533411615385,0.9638832449471283,1.2218709470838267,30
annealed_vs_hard,kv_hard_retention,kv_annealed_retention,final_holdout_brier,30,0.5208198070958333,0.15511187754994263,0.46469390222925416,0.5737131917710309,30
annealed_vs_hard,kv_hard_retention,kv_annealed_retention,final_holdout_ece,30,0.056003071608933336,0.04347479234752242,0.041250058534639165,0.07180809489961917,30
annealed_vs_hard,kv_hard_retention,kv_annealed_retention,final_holdout_accuracy,30,0.35458333333333336,0.11173028510298988,0.314375,0.39333333333333337,30
oracle_vs_fifo,kv_fifo_eviction,kv_oracle_retention,final_holdout_nll,30,1.3532709242581333,0.08506498715918234,1.3236974188640565,1.3837398330490733,30
oracle_vs_fifo,kv_fifo_eviction,kv_oracle_retention,final_holdout_brier,30,0.6225840431069667,0.04263321265483052,0.6078848309454309,0.6379450116434076,30
oracle_vs_fifo,kv_fifo_eviction,kv_oracle_retention,final_holdout_ece,30,0.0579696086353,0.03113327169473468,0.047177543003505,0.06899617559081334,29
oracle_vs_fifo,kv_fifo_eviction,kv_oracle_retention,final_holdout_accuracy,30,0.4110416666666667,0.042696153996489586,0.39625,0.42624999999999996,30
