condition,n,mean_final_holdout_nll,sd_final_holdout_nll,ci_low_final_holdout_nll,ci_high_final_holdout_nll,mean_final_holdout_brier,sd_final_holdout_brier,ci_low_final_holdout_brier,ci_high_final_holdout_brier,mean_final_holdout_ece,sd_final_holdout_ece,ci_low_final_holdout_ece,ci_high_final_holdout_ece,mean_final_holdout_accuracy,sd_final_holdout_accuracy,ci_low_final_holdout_accuracy,ci_high_final_holdout_accuracy,mean_retention_write_rate,mean_retention_skip_rate,mean_retention_eviction_rate,mean_relevant_eviction_rate,mean_queried_entity_retention_rate,mean_query_read_hit_rate,mean_mean_retained_age,mean_final_300_retention_write_rate,mean_final_300_retention_skip_rate,mean_final_300_retention_eviction_rate,mean_final_300_relevant_eviction_rate,mean_final_300_query_read_hit_rate
kv_full_capacity,30,0.0037614064334666668,3.515251953028213e-05,0.0037493776050275,0.003773982079954167,1.698347316666667e-05,3.341428846177867e-07,1.686989746e-05,1.7104233865833333e-05,0.0037543192520333333,3.5015395002901816e-05,0.0037422769436725,0.0037669348232591666,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.5,1.0,0.0,0.0,0.0,1.0
kv_oracle_retention,30,0.0037614064334666668,3.515251953028213e-05,0.003749431629985833,0.003774170869306667,1.698347316666667e-05,3.341428846177867e-07,1.6869891387499997e-05,1.7103854395e-05,0.0037543192520333333,3.5015395002901816e-05,0.003742298273190833,0.0037668823883708334,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,2.4831250000000002,0.5,0.5,0.0,0.0,1.0
kv_fifo_eviction,30,1.3570323306916,0.08505175359864924,1.3277002957803021,1.3872012691394284,0.6226010265801333,0.04263307592147499,0.6078136124720358,0.6380430142510733,0.06172392788733334,0.03113762586643629,0.05097323208913499,0.072737380690805,0.5889583333333334,0.04269615399648958,0.57375,0.6035468750000003,1.0,0.0,0.5,0.24750000000003333,0.505625,0.505625,1.0,1.0,0.0,0.5,0.2500532407407,0.49747222222223336
kv_reservoir,30,1.3363352407777667,0.08423111259146704,1.3070165388512442,1.3661823646752942,0.6110335524809333,0.04234779218077055,0.59617321613218,0.6261873778862134,0.060812671377966664,0.02860592810649727,0.050928356091198335,0.07097648369640916,0.6006250000000001,0.04031630060940098,0.5864583333333333,0.6145833333333334,0.8046180555555333,0.1953819444444667,0.30461805555553334,0.15055555555550001,0.518125,0.518125,2.5240972222222,0.8091273148148334,0.19087268518516665,0.3091273148148333,0.15447453703706668,0.5081527777778333
kv_hard_retention,30,1.3661826896237,0.17487020865874062,1.3032554518802941,1.4266449455380192,0.6159628038388667,0.09692830678045067,0.5808517780127642,0.6488011725861692,0.07160924631526666,0.04480730060926067,0.05645042387695916,0.0878137817472825,0.59375,0.09481436036294545,0.5608333333333333,0.6272916666666667,0.7483680555555333,0.2516319444444667,0.24836805555553332,0.1232291666667,0.5110416666666667,0.5110416666666667,2.521250000000033,0.7477106481480666,0.25228935185193335,0.24771064814806668,0.12424537037036668,0.5167361111111
kv_annealed_retention,30,0.2692224763848333,0.3502314707267031,0.15300414962849918,0.3985218534091609,0.09514299674303334,0.13807892176487283,0.04931883045038583,0.1470896921727183,0.015606174706333333,0.014256588105818372,0.010960948957719168,0.020875045398612502,0.9483333333333334,0.07752456043902711,0.9189531250000001,0.97375,0.6619791666666334,0.3380208333333667,0.16197916666663334,0.023055555555600002,0.9404166666666666,0.9404166666666666,2.4351388888888668,0.6627291666666667,0.3372708333333333,0.16272916666666667,0.0243310185185,0.9413333333333667
