condition,n,mean_final_holdout_nll,sd_final_holdout_nll,ci_low_final_holdout_nll,ci_high_final_holdout_nll,mean_final_holdout_brier,sd_final_holdout_brier,ci_low_final_holdout_brier,ci_high_final_holdout_brier,mean_final_holdout_ece,sd_final_holdout_ece,ci_low_final_holdout_ece,ci_high_final_holdout_ece,mean_final_holdout_accuracy,sd_final_holdout_accuracy,ci_low_final_holdout_accuracy,ci_high_final_holdout_accuracy,mean_final_holdout_max_confidence,sd_final_holdout_max_confidence,ci_low_final_holdout_max_confidence,ci_high_final_holdout_max_confidence,mean_final_holdout_true_class_probability,sd_final_holdout_true_class_probability,ci_low_final_holdout_true_class_probability,ci_high_final_holdout_true_class_probability
structural_core_full,30,3.2075062927747333,0.23477935680896184,3.1254691878888,3.289893422983417,1.4196577098630667,0.05244101611359009,1.401102756204664,1.437919230367599,0.6737195058517333,0.034286588259214636,0.6616700347386535,0.6856501342530859,0.030208333333333334,0.019076421099200526,0.02354166666666667,0.036875,0.7012643170139333,0.026335233578921542,0.6920406603119533,0.7105890258708292,0.08330509692206665,0.019381872033192794,0.07659503770982168,0.09020814754295169
structural_core_blind,30,1.6473122622305,0.01600864575321377,1.641737712005455,1.65304339828624,0.8140912838732667,0.0055080047679910114,0.8121804187496159,0.8160703637107832,0.05408196441203333,0.026903709342036047,0.04474193374667417,0.063536174146845,0.17375000000000002,0.02346585927947532,0.16541666666666668,0.18187499999999998,0.22778395972003332,0.012144191772307179,0.22387205506347582,0.23237785414888584,0.19439823719000002,0.0022016721735212815,0.19361381537300001,0.19516415206712331
structural_mediation_linear,30,3.3966687842445666,0.26563054086822924,3.302534341065846,3.48953254346781,1.4233013548689668,0.07172474996973133,1.3975134594312617,1.4476952958555969,0.6663762892190334,0.05166590113876956,0.6472154049005416,0.683317135102965,0.045000000000000005,0.027089411342747033,0.035416666666666666,0.05458333333333333,0.7083057573952,0.05062887009162831,0.6892229458100024,0.7248843776386324,0.08934314675556668,0.023647051297298605,0.08129583408628333,0.09787543048197
structural_mediation_bounded,30,2.7232069939849004,0.24956337553979252,2.637136908957348,2.812927621217876,1.1653769347799,0.028512680992390755,1.1552207190337906,1.1751614118139382,0.3980362078181,0.06426904368842958,0.3755223822959542,0.4207387154011891,0.009583333333333333,0.016142994281353632,0.004375,0.015625,0.4055223063319,0.06890539485807555,0.3811605097460725,0.4294937082702533,0.07577115402163333,0.021776716220190465,0.06815868074991834,0.08344111801050749
