intervention,seeds,mean_nll_increase,ci_lower,ci_upper,sd,cohen_dz,positive_seeds,negative_seeds,ties,mean_accuracy_change
no_broadcast,30,0.008516412828433354,-0.011012244868000003,0.02764618354803335,0.05477091435418075,0.15549152189355925,16,14,0,-0.0069444444444666685
no_workspace_persistence,30,0.001924486808300004,-0.03089534006409996,0.03285670130606663,0.09088116289299712,0.021175860288736425,17,13,0,-0.0097222222222
no_workspace_output,30,0.0,0.0,0.0,0.0,0.0,0,0,30,0.0
no_spine_workspace,30,0.0,0.0,0.0,0.0,0.0,0,0,30,0.0
no_mechanism_output,30,-0.3987730833495,-0.4864696136212,-0.31418393894609997,0.24466139026391123,-1.6298978883400919,0,30,0,-0.036805555555500004
workspace_disconnected,30,0.008516412828433354,-0.010988479678600024,0.02776448637653338,0.05477091435418075,0.15549152189355925,16,14,0,-0.0069444444444666685
permuted_recipients,30,0.012440857507166688,-0.02084811910976662,0.04535187216676669,0.09347400846010619,0.13309429767822922,17,13,0,-0.001388888888866661
