comparison,baseline,candidate,seeds,mean_baseline_minus_candidate_nll,ci_lower,ci_upper,sd,cohen_dz,positive_seeds,negative_seeds,ties
blind_vs_full,core_content_blind,core_full_content,30,-0.5669872024392,-0.6899945015660334,-0.4392247436896334,0.3567700278836802,-1.5892231917644666,2,28,0
mediation_final_vs_full,core_full_content,mediation_final_only,30,0.2905512678232666,0.15704531123746662,0.42237693736416665,0.3760101122171271,0.7727219518380606,22,8,0
mediation_aux_vs_final,mediation_final_only,mediation_aux_annealed,30,-0.15819124643839996,-0.25474232914716666,-0.061693962697166656,0.27373093433828416,-0.5779078160121388,10,20,0
mediation_aux_vs_full,core_full_content,mediation_aux_annealed,30,0.1323600213848667,0.0013591254679000242,0.2634065381303333,0.3699165467658116,0.35781049142595334,18,12,0
mediation_aux_vs_blind,core_content_blind,mediation_aux_annealed,30,-0.4346271810543333,-0.5298191150782,-0.3318746426759999,0.2781525822099176,-1.562549510061088,3,27,0
