condition,seeds,normalized_mechanism_entropy_mean,normalized_mechanism_entropy_sd,role_mechanism_mutual_information_mean,role_mechanism_mutual_information_sd,normalized_role_mechanism_mutual_information_mean,normalized_role_mechanism_mutual_information_sd
core_full_content,30,0.0,0.0,0.0,0.0,0.0,0.0
core_content_blind,30,0.0,0.0,0.0,0.0,0.0,0.0
mediation_final_only,30,1.0,0.0,0.5623351446188083,0.0,0.4056390622295664,0.0
mediation_aux_annealed,30,1.0,0.0,0.5623351446188083,0.0,0.4056390622295664,0.0
