intervention,seeds,mean_nll_increase,ci_lower,ci_upper,sd,cohen_dz,positive_seeds,negative_seeds,ties,mean_accuracy_change
no_broadcast,30,0.2729243835012333,0.1350719637188334,0.4190675329979667,0.40344189994826696,0.6764899320973607,21,9,0,-0.21319444444443333
no_workspace_persistence,30,0.1977136942082667,0.06419140188483344,0.33441339484470006,0.38743542762178806,0.5103139261731984,19,11,0,-0.13541666666663332
no_workspace_output,30,0.0,0.0,0.0,0.0,0.0,0,0,30,0.0
no_spine_workspace,30,0.0,0.0,0.0,0.0,0.0,0,0,30,0.0
no_mechanism_output,30,-0.4396040264912667,-0.5347276658230999,-0.3374217128221,0.28051003478755093,-1.5671597161371011,3,27,0,-0.2472222222222
workspace_disconnected,30,0.2729243835012333,0.13417928574963336,0.417399883668,0.40344189994826696,0.6764899320973607,21,9,0,-0.21319444444443333
no_workspace_writes,30,0.4816899498827667,0.3289289164998667,0.6371287055823666,0.43886393937820845,1.0975837991274358,25,5,0,-0.21666666666666667
zero_reader_inbox,30,0.2729243835012333,0.13436359554126667,0.41790200480986667,0.40344189994826696,0.6764899320973607,21,9,0,-0.21319444444443333
permuted_recipients,30,0.2729243835012333,0.13433315333950002,0.416551921748,0.40344189994826696,0.6764899320973607,21,9,0,-0.21319444444443333
