condition,role,seeds,modal_dominant_mechanism,modal_count,stability_fraction
core_full_content,entity,30,,0,0.0
core_full_content,value,30,,0,0.0
core_full_content,filler,30,,0,0.0
core_full_content,query_marker,30,,0,0.0
core_full_content,query_entity,30,,0,0.0
core_content_blind,entity,30,,0,0.0
core_content_blind,value,30,,0,0.0
core_content_blind,filler,30,,0,0.0
core_content_blind,query_marker,30,,0,0.0
core_content_blind,query_entity,30,,0,0.0
mediation_final_only,entity,30,0,30,1.0
mediation_final_only,value,30,0,30,1.0
mediation_final_only,filler,30,,0,0.0
mediation_final_only,query_marker,30,3,30,1.0
mediation_final_only,query_entity,30,3,30,1.0
mediation_aux_annealed,entity,30,0,30,1.0
mediation_aux_annealed,value,30,0,30,1.0
mediation_aux_annealed,filler,30,,0,0.0
mediation_aux_annealed,query_marker,30,3,30,1.0
mediation_aux_annealed,query_entity,30,3,30,1.0
