condition,seeds,initial_train_nll_mean,initial_train_nll_sd,initial_holdout_nll_mean,initial_holdout_nll_sd,final_train_nll_mean,final_train_nll_sd,final_holdout_nll_mean,final_holdout_nll_sd,final_train_accuracy_mean,final_train_accuracy_sd,final_holdout_accuracy_mean,final_holdout_accuracy_sd,mean_estimated_madds_per_token_mean,mean_estimated_madds_per_token_sd,mean_active_mechanisms_per_token_mean,mean_active_mechanisms_per_token_sd,mean_writers_per_token_mean,mean_writers_per_token_sd,mean_recipients_per_token_mean,mean_recipients_per_token_sd,first_window_loss_mean,first_window_loss_sd,last_window_loss_mean,last_window_loss_sd,first_primary_window_loss_mean,first_primary_window_loss_sd,last_primary_window_loss_mean,last_primary_window_loss_sd,last_workspace_aux_window_loss_mean,last_workspace_aux_window_loss_sd,anneal_boundary_primary_window_loss_mean,anneal_boundary_primary_window_loss_sd,final_workspace_aux_weight_mean,final_workspace_aux_weight_sd,final_weighted_workspace_aux_window_loss_mean,final_weighted_workspace_aux_window_loss_sd,parameters_mean,parameters_sd
core_full_content,30,1.7023175874820333,0.07555794180075992,1.6623016897898,0.07485437207461568,0.08328595231936667,0.03894011766732049,2.1878349324978665,0.3564545382275936,0.9866666666666667,0.016059336812290076,0.4423611111111,0.08273552336389542,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6328938019686667,0.0681044159195113,0.13761266181246665,0.08811205359189024,1.6328938019686667,0.0681044159195113,0.13761266181246665,0.08811205359189024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1169.0,0.0
core_content_blind,30,1.609437912434,0.0,1.609437912434,0.0,1.5976007556800333,0.01293921905473484,1.6208477300586668,0.023202303760380513,0.24416666666666667,0.019485110731784026,0.21458333333329999,0.06383863382444671,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.627954480084,0.019338643893046976,1.6011706756541335,0.01534103455705142,1.627954480084,0.019338643893046976,1.6011706756541335,0.01534103455705142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,0.0
mediation_final_only,30,1.6279548422858998,0.016234601682606726,1.6330543886871667,0.02652521898632715,0.3929448256385,0.14212628838177582,1.8972836646746,0.2910578367439981,0.8610416666666667,0.0631151480305603,0.4506944444443667,0.08501946005916412,6784.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0,1.6534457469060666,0.03351644507341408,0.5523997817558001,0.1570391621120241,1.6534457469060666,0.03351644507341408,0.5523997817558001,0.1570391621120241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15650.0,0.0
mediation_aux_annealed,30,1.6279548422858998,0.016234601682606726,1.6330543886871667,0.02652521898632715,0.32865594678366666,0.11453357342675027,2.055474911113,0.27901033473691,0.8839583333333334,0.04999146838131023,0.4319444444444333,0.07658239162853306,6784.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0,2.4316554170764664,0.03617598368809799,0.4761955775994334,0.17493651905858734,1.6527077674015667,0.030964622222836614,0.4761955775994334,0.17493651905858734,0.0,0.0,0.8222345340980667,0.14550293397721073,0.0,0.0,0.0,0.0,15650.0,0.0
